brand,product_name,parent_category,child_category,price,materials
Hollister,Ruched Babydoll Top,Tops,Blouses,$29.95,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester"
Hollister,Cable-Knit Bow Crew Sweater,Tops,Sweaters & Cardigans,$39.95,"Body:60% Cotton, 20% Viscose, 20% Nylon"
Hollister,Oversized Heart Graphic Crew Sweatshirt,Tops,Hoodies & Sweatshirts,$49.95,"Body:60% Cotton, 40% Recycled Polyester"
Hollister,Low-Rise Medium Wash Teardown Pocket Baggy Jeans,Bottoms,Jeans,$59.95,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Easy Flying Birds Graphic Crew Sweater,Tops,Sweaters & Cardigans,$49.95,"Body:60% Cotton, 40% Polyester"
Hollister,Low-Rise White Baggy Jeans,Bottoms,Jeans,$54.95,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Reversible V-Waist Cheeky Bikini Bottom,Swimwear,Swim Bottoms,$17.95,"BODY AND LINING: 80% NYLON, 20% ELASTANE"
Hollister,Reversible Triangle Bikini Top,Swimwear,Swim Tops,$19.95,"BODY AND LINING: 80% NYLON, 20% ELASTANE"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane"
Hollister,Easy Jumping Fish Graphic Crew Sweater,Tops,Sweaters & Cardigans,$49.95,"Body:60% Cotton, 40% Polyester"
Hollister,Easy Crew Sweater,Tops,Sweaters & Cardigans,$39.95,"Body:60% Cotton, 40% Polyester"
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,"Body:96% Cotton, 4% Elastane"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirts,$44.95,"Body:100% Cotton / Lining:88% Recycled Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Low-Rise Boot Jeans,Bottoms,Jeans,$49.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane"
Hollister,Oversized Hoodie,Tops,Hoodies & Sweatshirts,$39.95,"Body And Hood Lining:60% Cotton, 40% Recycled Polyester"
Hollister,Oversized Angel Wings Graphic Crew Sweatshirt,Tops,Hoodies & Sweatshirts,$49.95,"Body:60% Cotton, 40% Recycled Polyester"
Hollister,Seamless Fabric Scoop Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Low-Rise Poplin Shortie Shorts,Bottoms,Shorts,$39.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton"
Hollister,Low-Rise Dark Wash Boot Jeans,Bottoms,Jeans,$49.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton"
Hollister,Low-Rise Floral Back Pocket Poplin Shortie Shorts,Bottoms,Shorts,$44.95,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton"
Hollister,Easy Dog Graphic Crew Sweater,Tops,Sweaters & Cardigans,$49.95,"Body:60% Cotton, 40% Polyester"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,
Hollister,Seamless Fabric Scoop Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Easy Satin Tie Babydoll Top,Tops,Blouses,$29.95,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester"
Hollister,Easy Long-Sleeve Butterfly Pattern Babydoll Top,Tops,Babydoll Tops,$29.95,"Body:94% Cotton, 6% Elastane"
Hollister,Taylor Reversible Tube Top,Tops,Tube Tops,$14.95,"Body:96% Cotton, 4% Elastane"
Hollister,Zip-Up Hoodie,Tops,Hoodies & Sweatshirts,$44.95,"Body And Hood Lining:60% Cotton, 40% Polyester"
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
Hollister,Hollister Feel Good Fleece Oversized Floral Pattern Hoodie,Tops,Hoodies & Sweatshirts,$44.95,"Body:60% Cotton, 40% Polyester"
Hollister,Satin Strapless Bow Bodycon Dress,Dresses,Mini Dresses,$69.95,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester"
Hollister,Seamless Fabric Scoop Top,Tops,Long-Sleeve Tops,$19.95,"Body:88% Polyester, 12% Elastane"
