brand,product_name,parent_category,child_category,materials,price,Body materials_original,Body materials_normalized
Hollister,Ruched Babydoll Top,Tops,Shirt/Blouse,"Body:100% Cotton / Elastic:69% Polyester, 31% Elastane / Lining:100% Polyester",29.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Cable-Knit Bow Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 20% Viscose, 20% Nylon",39.95,"[(60, 'Cotton'), (20, 'Viscose'), (20, 'Nylon')]","[(60, 'cotton'), (20, 'viscose'), (20, 'nylon')]"
Hollister,Oversized Heart Graphic Crew Sweatshirt,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Recycled Polyester",49.95,"[(60, 'Cotton'), (40, 'Recycled Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Low-Rise Medium Wash Teardown Pocket Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Easy Flying Birds Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Low-Rise White Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",54.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95,"[(95, 'Cotton'), (5, 'Elastane')]","[(95, 'cotton'), (5, 'elastane')]"
Hollister,Easy Jumping Fish Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95,"[(96, 'Cotton'), (4, 'Elastane')]","[(96, 'cotton'), (4, 'elastane')]"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Recycled Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",44.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Low-Rise Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95,"[(95, 'Cotton'), (5, 'Elastane')]","[(95, 'cotton'), (5, 'elastane')]"
Hollister,Oversized Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Recycled Polyester",39.95,"[(60, 'Cotton'), (40, 'Recycled Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Angel Wings Graphic Crew Sweatshirt,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Recycled Polyester",49.95,"[(60, 'Cotton'), (40, 'Recycled Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Low-Rise Poplin Shortie Shorts,Bottoms,Shorts,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton",39.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Low-Rise Dark Wash Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Low-Rise Floral Back Pocket Poplin Shortie Shorts,Bottoms,Shorts,"Body:98% Cotton, 2% Elastane / Pocket Bag:65% Polyester, 35% Cotton",44.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Easy Dog Graphic Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,,14.95,[],[]
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95,"[(100, 'Viscose')]","[(100, 'viscose')]"
Hollister,Easy Long-Sleeve Butterfly Pattern Babydoll Top,Tops,Shirt/Blouse,"Body:94% Cotton, 6% Elastane",29.95,"[(94, 'Cotton'), (6, 'Elastane')]","[(94, 'cotton'), (6, 'elastane')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body:96% Cotton, 4% Elastane",14.95,"[(96, 'Cotton'), (4, 'Elastane')]","[(96, 'cotton'), (4, 'elastane')]"
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Hollister Feel Good Fleece Oversized Floral Pattern Hoodie,Tops,Hoodie/Sweatshirt,"Body:60% Cotton, 40% Polyester",44.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Satin Strapless Bow Bodycon Dress,Dresses & Jumpsuits,Dress,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester",69.95,"[(94, 'Polyester'), (6, 'Elastane')]","[(94, 'polyester'), (6, 'elastane')]"
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Satin Strapless Bow Bodycon Dress,Dresses & Jumpsuits,Dress,"Body:94% Polyester, 6% Elastane / Lace:100% Nylon / Lining:85% Polyester, 15% Elastane / Pad Foam:100% Polyurethane / Pad Lining:100% Polyester",69.95,"[(94, 'Polyester'), (6, 'Elastane')]","[(94, 'polyester'), (6, 'elastane')]"
Hollister,High-Rise Black Flare Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Star Graphic Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Varsity Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:100% Cotton / Body And Hood Lining:60% Cotton, 40% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Stretch Poplin Embroidered Short-Sleeve Shirt,Tops,Shirt/Blouse,"Body:60% Cotton, 36% Polyester, 4% Elastane / Embroidery:100% Polyester",39.95,"[(60, 'Cotton'), (36, 'Polyester'), (4, 'Elastane')]","[(60, 'cotton'), (36, 'polyester'), (4, 'elastane')]"
Hollister,Off-the-Shoulder Hibiscus Graphic Tee,Tops,T-shirt,,24.95,[],[]
Hollister,Seamless Fabric Scoop Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Crinkle Shine Flyaway Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",39.95,"[(100, 'Viscose')]","[(100, 'viscose')]"
Hollister,Taylor Reversible Tube Top,Tops,Tank/Cami,"Body And Lining:95% Cotton, 5% Elastane / Body:96% Cotton, 4% Elastane",14.95,"[(95, 'Cotton'), (5, 'Elastane')]","[(95, 'cotton'), (5, 'elastane')]"
Hollister,Seamless Fabric Long-Sleeve Crew Top,Tops,T-shirt,"Body:88% Polyester, 12% Elastane",19.95,"[(88, 'Polyester'), (12, 'Elastane')]","[(88, 'polyester'), (12, 'elastane')]"
Hollister,Zip-Up Hoodie,Tops,Hoodie/Sweatshirt,"Body And Hood Lining:60% Cotton, 40% Polyester",44.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Class of '26 Baggy Sweatpants,Bottoms,Trousers/Chinos,"Body And Pocket Bag:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Oversized Class of '26 Graphic Hoodie,Tops,Hoodie/Sweatshirt,"Applique:60% Cotton, 40% Polyester / Body And Hood Lining:60% Cotton, 40% Polyester / Embroidery:100% Polyester",49.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Crinkle Shine Flyaway Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:71% Polyester, 29% Elastane / Lining:100% Polyester",39.95,"[(100, 'Viscose')]","[(100, 'viscose')]"
Hollister,Low-Rise Medium Wash Star Graphic Baggy Jeans,Bottoms,Jeans,"Body:100% Cotton / Pocket Bag:80% Polyester, 20% Cotton",59.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95,"[(100, 'Viscose')]","[(100, 'viscose')]"
Hollister,Mid-Rise Khaki Boot Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Easy Satin Tie Babydoll Top,Tops,Shirt/Blouse,"Body:100% Viscose / Elastic:67% Polyester, 33% Elastane / Lining:100% Polyester",29.95,"[(100, 'Viscose')]","[(100, 'viscose')]"
Hollister,Low-Rise Denim Mini Skort,Bottoms,Skirt,"Body:100% Cotton / Lining:88% Polyester, 12% Elastane / Pocket Bag:80% Polyester, 20% Cotton",39.95,"[(100, 'Cotton')]","[(100, 'cotton')]"
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
Hollister,Curvy High-Rise Medium Wash Flare Jeans,Bottoms,Jeans,"Body:98% Cotton, 2% Elastane / Pocket Bag:80% Polyester, 20% Cotton",49.95,"[(98, 'Cotton'), (2, 'Elastane')]","[(98, 'cotton'), (2, 'elastane')]"
Hollister,Easy Crew Sweater,Tops,Sweater/Cardigan,"Body:60% Cotton, 40% Polyester",39.95,"[(60, 'Cotton'), (40, 'Polyester')]","[(60, 'cotton'), (40, 'polyester')]"
